每個人都是個天才，不過如果你用爬樹的能力評斷一支魚，它一輩子都覺得自己是個笨蛋。,愛因斯坦
每一個人都有罪的封閉社會裡，唯一的罪就是被抓到。在一個充滿小偷的世界裡，唯一的罪就是愚蠢。, Hunter S. Thompson
偏見很少被辯論推翻，因為他們沒有道理可循，因此他們也不法被邏輯摧毀。,Tryon Edwards
別忘了大地喜歡碰觸你的赤腳，而風可望與你的髮絲嬉戲。,Khalil Gibran
大部分的人都扮演著其他人。他們的想法都是其他人的意見。他們過著模仿他人的生活。他們的激情只是一句引言。,Oscar Wilde
有些人道哪裡都能帶來歡樂;有些人則是走了之後。,Oscar Wilde
在一個病態的社會裡適應良好並不代表你是健康的。,Jiddu Krishnamurti
要仁慈，你所遇到的每個人都在打一場艱難的仗。,Plato
每個人都會死，但不是每個人都有真的活過。,William Wallace
任何一位與怪獸爭鬥的人，應該要確保在過程中不要讓自己變成一隻野獸。而當你凝視深淵夠久，深淵會回看你。,Fridedrich Nietzsche
一個人的生活不同一般並不會令他非凡，與此相反，要是一個人非凡，他會從鄉村牧師那樣單調的生活中創造出不同一般。,毛姆
每一個人身上都拖帶著一個世界，由他所見過、愛過的一切所組成的世界，即使他看起來是在另外一個不同的世界裡旅行、生活，他仍然不停地回到他身上所拖帶的那個世界去。,夏多布里昂
內觀只度有緣人，你能夠改變只是因為你願意改變。,anonymous
想開了就是凈土，想不開就是地獄，憂鬱了就是人間。,anonymous
心迷法華轉，心悟轉法華。,anonymous
修行非是逃避而是面對。,anonymous
